director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
deb hagan,drake bell,alona tal,haley bennett,comedy,College
sofia coppola,kirsten dunst,kathleen turner,scott glenn,drama romance,The Virgin Suicides
mark herman,jim broadbent,annette badland,brenda blethyn,comedy drama music romance,Little Voice
zach cregger,hugh m. hefner,windell middlebrooks,raquel alessi,comedy romance,Miss March
zach braff,jim parsons,josh gad,michael weston,comedy drama,Wish I Was Here
mark tarlov,sarah michelle gellar,dylan baker,lawrence gilliard jr.,comedy drama fantasy romance,Simply Irresistible
unknown,francis capra,jason dohring,enrico colantoni,crime drama mystery,Veronica Mars            
john cameron mitchell,john cameron mitchell,miriam shor,andrea martin,comedy drama music musical,Hedwig and the Angry Inch
sheldon lettich,antoni corone,ryan bollman,todd susman,action drama,Only the Strong
jon knautz,rachel alig,monda scott,alexis kendra,drama horror mystery thriller,Goddess of Love
billy ray,hayden christensen,rosario dawson,cas anvar,drama history,Shattered Glass
david atkins,chelcie ross,lynne thigpen,polly noonan,comedy crime drama thriller,Novocaine
patrick stettner,stockard channing,tony devon,frederick weller,drama thriller,The Business of Strangers
sam peckinpah,william holden,warren oates,l.q. jones,action adventure western,The Wild Bunch
jonathan levine,mary-kate olsen,aaron yoo,method man,comedy drama romance,The Wackness
michael crichton,lesley-anne down,michael elphick,pamela salem,adventure crime drama thriller,The Great Train Robbery
lynne ramsay,samantha morton,bryan dick,paul popplewell,drama,Morvern Callar
sylvio tabet,michael berryman,kari wuhrer,marc singer,action adventure fantasy sci-fi,Beastmaster 2: Through the Portal of Time
rick bieber,aidan quinn,kendrick cross,sammy nagi njuguna,biography drama sport,The 5th Quarter
claude chabrol,benoît magimel,nathalie baye,mélanie doutey,drama,The Flower of Evil
shana feste,jennifer ehle,zoë kravitz,cara seymour,drama romance,The Greatest
wayne wang,bingbing li,russell wong,ji-hyun jun,drama history,Snow Flower and the Secret Fan
joey lauren adams,tim blake nelson,diane ladd,ritchie montgomery,drama romance,Come Early Morning
peter cattaneo,james nesbitt,olivia williams,peter mcnamara,comedy crime romance,Lucky Break
fred zinnemann,meryl streep,jane fonda,vanessa redgrave,drama,Julia
s.r. bindler,matthew mcconaughey,scott glenn,sarah wright,comedy,"Surfer, Dude"
tony kaye,noam chomsky,pat buchanan,bill baird,documentary,Lake of Fire
greg marcks,henry thomas,barbara hershey,shawn hatosy,comedy crime drama,11:14
perry lang,catherine bell,kevin tighe,tim guinee,action drama thriller,Men of War
jake goldberger,pruitt taylor vince,m. emmet walsh,robert wahlberg,drama mystery thriller,Don McKay
stefan ruzowitzky,charlie hunnam,olivia wilde,sissy spacek,crime drama thriller,Deadfall
vic sarin,connie nielsen,aidan quinn,john bell,drama family,A Shine of Rainbows
william kaufman,drew waters,sean cook,cole hauser,action thriller,The Hit List
unknown,romola garai,blake ritson,rupert evans,comedy drama romance,Emma            
david cronenberg,debbie harry,leslie carlson,reiner schwarz,horror mystery sci-fi thriller,Videodrome
cédric klapisch,romain duris,cécile de france,iddo goldberg,comedy drama,L'auberge espagnole
kate barker-froyland,anne hathaway,shawn parsons,li jun li,drama music,Song One
barbet schroeder,ryan gosling,chris penn,agnes bruckner,crime mystery thriller,Murder by Numbers
martin koolhoven,yorick van wageningen,tygo gernandt,martijn lakemeier,drama history war,Winter in Wartime
charles matthau,billy burke,michael jai white,bill duke,comedy crime thriller,Freaky Deaky
john frankenheimer,jeanne moreau,paul scofield,michel simon,thriller war,The Train
christopher m. bessette,mira sorvino,john billingsley,trieu tran,drama thriller,Trade of Innocents
prachya pinkaew,jon foo,nathan jones,johnny nguyen,action crime drama thriller,The Protector
gary sinyor,sean pertwee,frank finlay,samuel west,comedy,Stiff Upper Lips
unknown,simon bird,belinda stewart-wilson,james buckley,comedy romance,The Inbetweeners            
gurinder chadha,archie panjabi,parminder nagra,anupam kher,comedy drama romance sport,Bend It Like Beckham
john sayles,miguel ferrer,edie falco,timothy hutton,drama romance,Sunshine State
preston a. whitmore ii,wesley jonathan,wayne brady,eva marcille,action sport,Crossover
ashish r. mohan,asin,mithun chakraborty,johnny lever,action comedy,Khiladi 786
jaume balagueró,jonathan d. mellor,pablo rosso,andrea ros,horror,[Rec] 2
stewart raffill,kayla jackson,alexis biesiada,kayla raparelli,musical,Standing Ovation
george roy hill,eileen brennan,robert shaw,ray walston,comedy crime drama,The Sting
hugh hudson,alice krige,ben cross,john gielgud,biography drama sport,Chariots of Fire
darren grant,cicely tyson,kimberly elise,tamara taylor,comedy drama romance,Diary of a Mad Black Woman
scott hicks,noah taylor,armin mueller-stahl,nicholas bell,biography drama music romance,Shine
joseph gordon-levitt,joseph gordon-levitt,scarlett johansson,tony danza,comedy drama romance,Don Jon
clint eastwood,clint eastwood,richard bull,john hillerman,mystery western,High Plains Drifter
terry zwigoff,scarlett johansson,steve buscemi,t.j. thyne,comedy drama,Ghost World
richard eyre,kate winslet,jim broadbent,kris marshall,biography drama romance,Iris
william sachs,stephen macht,avery schreiber,angelo rossitto,comedy sci-fi,Galaxina
christophe barratier,jean-baptiste maunier,françois berléand,gérard jugnot,drama music,The Chorus
émile gaudreault,paul sorvino,luke kirby,claudia ferri,comedy drama,Mambo Italiano
james cox,alexis dziena,louis lombardi,franky g,crime drama mystery thriller,Wonderland
spike lee,ruby dee,john savage,danny aiello,drama,Do the Right Thing
james toback,sarah michelle gellar,eric stoltz,joey lauren adams,comedy crime drama romance thriller,Harvard Man
aki kaurismäki,jean-pierre léaud,kati outinen,jean-pierre darroussin,comedy drama,Le Havre
gaspar noé,philippe nahon,albert dupontel,jo prestia,crime drama mystery thriller,Irreversible
hitoshi matsumoto,lindsay kay hayward,hitoshi matsumoto,shinobu terajima,comedy drama,R100
rakeysh omprakash mehra,anupam kher,steven mackintosh,madhavan,comedy drama history romance,Rang De Basanti
collin schiffli,kim shaw,john heard,david dastmalchian,drama,Animals
george ratliff,jim gaffigan,cree kelly,mike eshaq,action comedy drama thriller,Salvation Boulevard
david wain,jon hamm,ken marino,ron silver,comedy romance,The Ten
shane meadows,bob hoskins,paddy considine,shane meadows,comedy drama,A Room for Romeo Brass
morten tyldum,aksel hennie,synnøve macody lund,julie r. ølgaard,crime drama thriller,Headhunters
jon wright,russell tovey,richard coyle,bronagh gallagher,comedy horror sci-fi thriller,Grabbers
michael mcgowan,campbell scott,adam butcher,gordon pinsent,comedy drama sport,Saint Ralph
liv ullmann,samantha morton,jessica chastain,colin farrell,drama romance,Miss Julie
jeannot szwarc,teresa wright,bill erwin,george voskovec,drama fantasy romance,Somewhere in Time
rohan sippy,abhishek bachchan,bipasha basu,prateik,action crime drama thriller,Dum Maaro Dum
james wan,lin shaye,barbara hershey,leigh whannell,fantasy horror thriller,Insidious: Chapter 2
darren lynn bousman,emmanuelle vaugier,tony nappo,shawnee smith,horror mystery,Saw II
dan trachtenberg,bradley cooper,john gallagher jr.,sumalee montano,drama horror mystery sci-fi thriller,10 Cloverfield Lane
jeff tremaine,bam margera,steve-o,chris pontius,comedy documentary,Jackass: The Movie
david f. sandberg,billy burke,amiah miller,gabriel bateman,horror,Lights Out
henry joost,johanna braddy,sprague grayden,christopher nicholas smith,horror,Paranormal Activity 3
stiles white,lin shaye,shelley hennig,daren kagasoff,fantasy horror,Ouija
chuck russell,john saxon,heather langenkamp,jennifer rubin,action fantasy horror thriller,A Nightmare on Elm Street 3: Dream Warriors
joel edgerton,busy philipps,allison tolman,wendell pierce,mystery thriller,The Gift
eugenio derbez,eugenio derbez,jessica lindsey,hugo stiglitz,comedy drama,Instructions Not Included
henry joost,matt shively,brendon eggertsen,alisha boe,horror,Paranormal Activity 4
henry koster,richard burton,jean simmons,victor mature,drama history,The Robe
blake edwards,burt kwouk,herbert lom,catherine schell,comedy crime mystery,The Return of the Pink Panther
rachel talalay,johnny depp,tom arnold,yaphet kotto,comedy fantasy horror thriller,Freddy's Dead: The Final Nightmare
patty jenkins,charlize theron,bruce dern,pruitt taylor vince,biography crime drama thriller,Monster
richard fleischer,james mason,robert j. wilke,paul lukas,adventure drama family fantasy sci-fi,"20,000 Leagues Under the Sea"
christopher landon,richard cabral,gloria sandoval,molly ephraim,fantasy horror thriller,Paranormal Activity: The Marked Ones
david lynch,anthony hopkins,anne bancroft,dexter fletcher,biography drama,The Elephant Man
jean-marc vallée,matthew mcconaughey,jennifer garner,denis o'hare,biography drama,Dallas Buyers Club
david gelb,olivia wilde,mark duplass,donald glover,horror sci-fi thriller,The Lazarus Effect
christopher nolan,callum rennie,thomas lennon,jorja fox,mystery thriller,Memento
mike flanagan,james lafferty,rory cochrane,garrett ryan,horror mystery,Oculus
kevin smith,ethan suplee,jason mewes,brian o'halloran,comedy,Clerks II
stephen daldry,julie walters,gary lewis,jamie draven,drama music,Billy Elliot
nat faxon,steve carell,liam james,jim rash,comedy drama,The Way Way Back
george jackson,william schallert,tisha campbell-martin,helen martin,comedy drama music romance,House Party 2
george miller,tony bonner,jack thompson,tom burlinson,adventure drama family romance western,The Man from Snowy River
maurice joyce,frank welker,constance shulman,alice playten,animation comedy family,Doug's 1st Movie
robert duvall,john beasley,todd allen,june carter cash,drama,The Apostle
frank perry,faye dunaway,xander berkeley,diana scarwid,biography drama,Mommie Dearest
jesse peretz,zooey deschanel,adam scott,steve coogan,comedy drama,Our Idiot Brother
stephen hopkins,william hurt,tony curran,david kross,biography drama sport,Race
ice cube,bernie mac,monica calhoun,chrystale wilson,comedy drama,The Players Club
tim blake nelson,mekhi phifer,andrew keegan,john heard,drama romance thriller,O
john erick dowdle,ben feldman,edwin hodge,perdita weeks,horror mystery thriller,"As Above, So Below"
bille woodruff,boris kodjoe,cameron mills,sharon leal,drama thriller,Addicted
kasi lemmons,jurnee smollett-bell,lynn whitfield,diahann carroll,drama,Eve's Bayou
richard glatzer,kristen stewart,hunter parrish,seth gilliam,drama,Still Alice
michael curtiz,gene tierney,peter ustinov,jean simmons,drama history,The Egyptian
bruce malmuth,sylvester stallone,lindsay wagner,persis khambatta,action crime thriller,Nighthawks
rob hedden,kane hodder,peter mark richman,scott reeves,adventure horror,Friday the 13th Part VIII: Jason Takes Manhattan
joel zwick,nia vardalos,louis mandylor,lainie kazan,comedy family romance,My Big Fat Greek Wedding
harmony korine,james franco,heather morris,rachel korine,crime drama,Spring Breakers
joe chappelle,donald pleasence,kim darby,mitchell ryan,horror thriller,Halloween: The Curse of Michael Myers
alfonso cuarón,maribel verdú,daniel giménez cacho,maría aura,adventure comedy drama romance,Y Tu Mamá También
edgar wright,peter serafinowicz,dylan moran,rafe spall,comedy horror,Shaun of the Dead
mickey liddell,jessica lowndes,randy wayne,haley bennett,drama horror thriller,The Haunting of Molly Hartley
john sayles,matthew mcconaughey,clifton james,miriam colon,drama mystery,Lone Star
dwight h. little,donald pleasence,kathleen kinmont,ellie cornell,horror thriller,Halloween 4: The Return of Michael Myers
fred walton,thomas f. wilson,deborah foreman,clayton rohner,horror mystery,April Fool's Day
barry levinson,steve guttenberg,daniel stern,ellen barkin,comedy drama,Diner
steve carver,david carradine,william sanderson,robert beltran,action crime drama thriller western,Lone Wolf McQuade
gonzalo lópez-gallego,warren christie,ryan robbins,andrew airlie,horror mystery sci-fi thriller,Apollo 18
christine jeffs,clifton collins jr.,mary lynn rajskub,paul dooley,comedy drama,Sunshine Cleaning
john erick dowdle,sterling jerins,claire geare,sahajak boonthanakit,action thriller,No Escape
don coscarelli,vanna bonta,john amos,rip torn,action adventure fantasy,The Beastmaster
king vidor,gina lollobrigida,george sanders,finlay currie,drama history romance war,Solomon and Sheba
michael tiddes,fred willard,mike epps,russell peters,comedy,Fifty Shades of Black
bill duke,eddie cibrian,jenifer lewis,wood harris,drama romance,Not Easily Broken
frank borzage,gary cooper,helen hayes,adolphe menjou,drama romance war,A Farewell to Arms
bille woodruff,donald faison,brandy norwood,lauren london,comedy romance,The Perfect Match
mamoru hosoda,lara jill miller,colleen o'shaughnessey,mona marshall,action adventure animation family sci-fi,Digimon: The Movie
brian dannelly,macaulay culkin,patrick fugit,eva amurri martino,comedy drama,Saved!
denys arcand,marie-josée croze,stéphane rousseau,marina hands,comedy crime drama mystery romance,The Barbarian Invasions
richard lester,robert shaw,denholm elliott,nicol williamson,adventure drama romance,Robin and Marian
j.s. cardone,brendan fehr,kerr smith,izabella miko,horror thriller,The Forsaken
guy hamilton,harrison ford,carl weathers,franco nero,action drama war,Force 10 from Navarone
jay levey,fran drescher,gedde watanabe,michael richards,comedy drama,UHF
nicholaus goossen,linda cardellini,joel david moore,shirley jones,comedy,Grandma's Boy
tamara jenkins,natasha lyonne,kevin corrigan,jessica walter,comedy drama,Slums of Beverly Hills
sergio leone,claudia cardinale,woody strode,jack elam,western,Once Upon a Time in the West
jon favreau,jon favreau,faizon love,jonathan silverman,comedy crime drama thriller,Made
duncan jones,kevin spacey,matt berry,benedict wong,drama mystery sci-fi,Moon
scott marshall,miranda cosgrove,jami gertz,carter jenkins,comedy,Keeping Up with the Steins
ronan chapalain,norbert ferrer,guillaume denaiffe,chloe hollings,documentary,Sea Rex 3D: Journey to a Prehistoric World
atom egoyan,bruce greenwood,sarah polley,simon baker,drama,The Sweet Hereafter
xavier beauvois,lambert wilson,michael lonsdale,olivier rabourdin,drama,Of Gods and Men
randall miller,alan rickman,freddy rodríguez,greg collins,comedy drama,Bottle Shock
jerry belson,cassandra peterson,tim thomerson,bess armstrong,comedy music sci-fi,Jekyll and Hyde... Together Again
peter jackson,kate winslet,jed brophy,liz mullane,biography crime drama romance thriller,Heavenly Creatures
michael polish,hayden christensen,bobby batson,cynthia barrett,drama,90 Minutes in Heaven
dan rush,will ferrell,scott takeda,stephen root,comedy drama,Everything Must Go
jake kasdan,kim dickens,ryan o'neal,angela featherstone,comedy crime drama mystery thriller,Zero Effect
brad anderson,christian bale,jennifer jason leigh,reg e. cathey,drama thriller,The Machinist
paul schrader,dana delany,jane adams,david clennon,crime drama,Light Sleeper
michael cuesta,jeremy renner,paz vega,robert pralgo,biography crime drama mystery thriller,Kill the Messenger
john cameron mitchell,dianne wiest,jon tenney,tammy blanchard,drama,Rabbit Hole
fenton bailey,macaulay culkin,mia kirshner,marilyn manson,biography crime drama thriller,Party Monster
jeremy saulnier,alia shawkat,mark webber,joe cole,crime horror music thriller,Green Room
billy kent,liza minnelli,tim russ,winter ave zoli,comedy drama romance,The Oh in Ohio
james manera,joaquim de almeida,greg germann,kristoffer polaha,drama mystery sci-fi,Atlas Shrugged: Who Is John Galt?
wes anderson,andrew wilson,darryl cox,lumi cavazos,comedy crime drama,Bottle Rocket
kevin spacey,viggo mortensen,joe mantegna,faye dunaway,crime drama thriller,Albino Alligator
feroz abbas khan,akshaye khanna,bhoomika chawla,darshan jariwala,biography drama history,"Gandhi, My Father"
errol morris,jeffrey frost,megan ambuhl graner,ken davis,crime documentary war,Standard Operating Procedure
dennis hopper,raymond burr,don gordon,jim byrnes,drama,Out of the Blue
eli craig,katrina bowden,tyler labine,chelan simmons,comedy horror,Tucker and Dale vs Evil
nicholas fackler,adam scott,ellen burstyn,martin landau,drama romance,"Lovely, Still"
richard wallace,judith anderson,paul fix,laraine day,adventure drama romance,Tycoon
morgan j. freeman,ethan suplee,john heard,sara gilbert,drama,Desert Blue
matthew hastings,meghan ory,marc trottier,corey sevier,comedy horror sci-fi,Decoys
m. night shyamalan,ocean james,patch darragh,olivia dejonge,horror thriller,The Visit
brian de palma,mike figueroa,daniel stewart sherman,kel o'neill,crime thriller war,Redacted
klaus menzel,adam garcia,jacqueline bisset,alice evans,mystery romance thriller,Fascination
unknown,holly hunter,dylan minnette,bokeem woodbine,drama fantasy,Saving Grace            
oren peli,glenn campbell,sandra staggs,jelena nik,horror sci-fi thriller,Area 51
jaume balagueró,luis tosar,tony corvillo,marta etura,drama horror thriller,Sleep Tight
paul andrew williams,dave legeno,doug bradley,georgia groome,comedy crime horror thriller,The Cottage
stephen herek,henry ian cusick,callum blue,shenae grimes-beech,comedy drama fantasy,Dead Like Me: Life After Death
bob saget,alyson hannigan,john stamos,jim belushi,animation comedy,Farce of the Penguins
jim amatulli,heather locklear,patricia neal,katie leclerc,drama family music,Flying By
unknown,corbin bernsen,dulé hill,timothy omundson,comedy crime mystery,Psych            
william h. macy,billy crudup,felicity huffman,david adam flannery,comedy drama music,Rudderless
barrett esposito,chazz palminteri,cyndi lauper,danny aiello,animation family,Henry & Me
mitch davis,gary cole,jon heder,cheryl hines,comedy,Christmas Eve
eric bross,teri polo,esai morales,nicholas gonzalez,crime drama thriller,We Have Your Husband
paul schrader,nicolas cage,irène jacob,tomiwa edun,drama thriller,Dying of the Light
vicky jewson,james frain,sofia black-d'elia,lisa kay,action drama thriller war,Born of War
peter hyams,david huddleston,sam waterston,hal holbrook,action sci-fi thriller,Capricorn One
marc bennett,michael rapaport,natasha henstridge,costas mandylor,comedy drama,Should've Been Romeo
mike mayhall,david raizor,cody howard,martin kove,family,Running Forever
kevin smith,johnny depp,haley joel osment,natasha lyonne,comedy fantasy horror thriller,Yoga Hosers
stanton barrett,mikal vega,michael dudikoff,ed quinn,action horror,Navy Seals vs. Zombies
jirí menzel,julia jentsch,ivan barnev,milan lasica,comedy drama romance war,I Served the King of England
fatih akin,udo kier,moritz bleibtreu,birol ünel,comedy drama,Soul Kitchen
billy bob thornton,robert duvall,dwight yoakam,j.t. walsh,drama,Sling Blade
nick murphy,isaac hempstead wright,imelda staunton,joseph mawle,horror thriller,The Awakening
eli roth,jay hernandez,takashi miike,rick hoffman,horror,Hostel
michael winterbottom,steve coogan,shirley henderson,dylan moran,comedy drama,Tristram Shandy: A Cock and Bull Story
jeff nichols,katy mixon,shea whigham,robert longstreet,drama thriller,Take Shelter
frank laloggia,alex rocco,lukas haas,katherine helmond,fantasy horror mystery thriller,Lady in White
jeremy brock,rupert grint,julie walters,tamsin egerton,comedy drama,Driving Lessons
scott foley,donald faison,greg grunberg,dagmara dominczyk,comedy crime,Let's Kill Ward's Wife
tobe hooper,bill johnson,lou perryman,jim siedow,comedy horror,The Texas Chainsaw Massacre 2
sam peckinpah,james coburn,bob dylan,jason robards,biography drama romance western,Pat Garrett & Billy the Kid
nicolas winding refn,ryan gosling,kristin scott thomas,yayaying rhatha phongam,crime drama,Only God Forgives
christophe ali,denis lavant,isild le besco,emmanuelle bercot,drama,Camping sauvage
gabriela tagliavini,maria conchita alonso,kate del castillo,camryn manheim,comedy,Without Men
shekar,bhama,diganth,dileep raj,comedy romance,Barfi
shona auerbach,gerard butler,sharon small,jack mcelhone,drama romance,Dear Frankie
leonard farlinger,keith carradine,gary farmer,stephen mchattie,western,All Hat
michel leclerc,sara forestier,jacques gamblin,zinedine soualem,comedy drama romance,The Names of Love
analeine cal y mayor,zoë kravitz,douglas smith,kim ly,comedy drama,Treading Water
tom kalin,eddie redmayne,elena anaya,stephen dillane,drama,Savage Grace
robert sarkies,william kircher,matthew sunderland,paul glover,crime drama,Out of the Blue
hugh wilson,steve guttenberg,bubba smith,michael winslow,comedy,Police Academy
randal kleiser,brooke shields,christopher atkins,leo mckern,adventure drama romance,The Blue Lagoon
mike newell,kristin scott thomas,james fleet,simon callow,comedy drama romance,Four Weddings and a Funeral
amy heckerling,jennifer jason leigh,judge reinhold,vincent schiavelli,comedy drama,Fast Times at Ridgemont High
john huston,royal dano,richard basehart,james robertson justice,adventure drama,Moby Dick
spike lee,philip seymour hoffman,rosario dawson,aaron stanford,drama,25th Hour
unknown,dan fogler,indiana evans,kadee strickland,crime drama,Secrets and Lies            
lana wachowski,christopher meloni,kevin michael richardson,peter spellos,crime drama romance thriller,Bound
darren aronofsky,ellen burstyn,mark margolis,louise lasser,drama,Requiem for a Dream
walter lang,dana andrews,jeanne crain,frank mchugh,musical romance,State Fair
carlos saura,mía maestro,juan luis galiardo,miguel ángel solá,drama musical,Tango
oliver stone,jim belushi,john savage,juan fernández,drama history thriller war,Salvador
andrew erwin,alex kendrick,sarah drew,patricia heaton,comedy,Moms' Night Out
richard kelly,jake gyllenhaal,mary mcdonnell,james duval,drama sci-fi thriller,Donnie Darko
beto gómez,jaime camil,gerardo taracena,joaquín cosio,adventure comedy western,Saving Private Perez
mike van diem,jan decleir,fedja van huêt,hans kesting,crime drama mystery,Character
jonas åkerlund,patrick fugit,nicholas gonzalez,debbie harry,comedy crime drama,Spun
todd solondz,rich pecci,shirley henderson,charlotte rampling,comedy drama,Life During Wartime
chan-wook park,min-sik choi,yeong-ae lee,hye-jeong kang,crime drama,Lady Vengeance
rené féret,nicolas giraud,clovis fouin,marie féret,biography drama music romance,Mozart's Sister
barry skolnick,jason statham,jason flemyng,danny dyer,comedy drama sport,Mean Machine
johnnie to,simon yam,anthony chau-sang wong,josie ho,action crime thriller,Exiled
mateo gil,sam shepard,dominique mcelligott,stephen rea,action adventure western,Blackthorn
lukas moodysson,oksana akinshina,artyom bogucharskiy,lyubov agapova,crime drama,Lilya 4-Ever
agnieszka wojtowicz-vosloo,liam neeson,josh charles,chandler canterbury,drama horror mystery thriller,After.Life
kabir sadanand,jimmy shergill,sana saeed,dimple kapadia,drama thriller,Fugly
milos forman,scatman crothers,michael berryman,louise fletcher,drama,One Flew Over the Cuckoo's Nest
peter deluise,katherine mcnamara,dove cameron,braeden lemasters,comedy,R.L. Stine's Monsterville: The Cabinet of Souls
mel brooks,sid caesar,dom deluise,bernadette peters,comedy romance,Silent Movie
raja menon,nimrat kaur,sameer ali khan,purab kohli,action drama history thriller war,Airlift
unknown,zack ward,jonathan crombie,megan follows,drama family,Anne of Green Gables            
ernie barbarash,michael jai white,michael j. morris,lateef crowder,action adventure,Falcon Rising
nick love,hayley atwell,ray winstone,alan ford,action crime drama,The Sweeney
jonathan glazer,ray winstone,james fox,amanda redman,crime thriller,Sexy Beast
daniel espinosa,fabian bolin,fares fares,matias varela,action crime drama thriller,Easy Money
niki caro,keisha castle-hughes,rawiri paratene,tammy davis,drama family,Whale Rider
r. balki,vidya balan,abhishek bachchan,paresh rawal,comedy drama,Paa
ivan engler,yangzom brauen,claude-oliver rudolph,anna katharina schwabroh,mystery sci-fi thriller,Cargo
joe wright,hugh jackman,cara delevingne,nonso anozie,adventure family fantasy,Pan
kenny ortega,lucas grabeel,corbin bleu,olesya rulin,comedy drama family music musical romance,High School Musical
unknown,dorian missick,daniella alonso,ellen barkin,crime drama,Animal Kingdom            
richard kwietniowski,jason priestley,maury chaykin,danny webb,comedy drama,Love and Death on Long Island
timur bekmambetov,konstantin khabenskiy,aleksey chadov,zhanna friske,fantasy thriller,Night Watch
neil jordan,jim broadbent,miranda richardson,stephen rea,crime drama romance thriller,The Crying Game
bob clark,art hindle,susan clark,tony ganios,comedy,Porky's
george a. romero,julian richings,shawn roberts,kathleen munroe,horror,Survival of the Dead
george a. romero,judith o'dea,duane jones,s. william hinzman,drama horror mystery,Night of the Living Dead
sofia coppola,scarlett johansson,bill murray,catherine lambert,drama,Lost in Translation
woody allen,woody allen,carol kane,shelley duvall,comedy romance,Annie Hall
cecil b. demille,gloria grahame,dorothy lamour,cornel wilde,drama family romance,The Greatest Show on Earth
ridley scott,christian bale,maría valverde,ben mendelsohn,action adventure drama,Exodus: Gods and Kings
marc forster,heath ledger,peter boyle,marcus lyle brown,drama romance,Monster's Ball
henry hobson,joely richardson,j.d. evermore,david a cole,drama horror,Maggie
mike figgis,nicolas cage,valeria golino,julian sands,drama romance,Leaving Las Vegas
duane journey,molly c. quinn,lara flynn boyle,lochlyn munro,comedy horror,Hansel & Gretel Get Baked
dan o'bannon,linnea quigley,clu gulager,beverly randolph,comedy horror sci-fi,The Return of the Living Dead
billy wilder,austin pendleton,harold gould,david wayne,comedy drama romance,The Front Page
rob cohen,ryan guzman,hill harper,adam hicks,mystery thriller,The Boy Next Door
carol reed,gina lollobrigida,katy jurado,sidney james,drama romance,Trapeze
unknown,holly hunter,dylan minnette,bokeem woodbine,drama fantasy,Saving Grace            
lisa cholodenko,josh hutcherson,mia wasikowska,yaya dacosta,comedy drama,The Kids Are All Right
john carpenter,meg foster,peter jason,george 'buck' flower,horror sci-fi thriller,They Live
john sturges,james coburn,donald pleasence,gordon jackson,adventure drama history thriller war,The Great Escape
william arntz,marlee matlin,elaine hendrix,armin shimerman,comedy documentary drama fantasy mystery sci-fi,What the #$*! Do We (K)now!?
ed gass-donnelly,muse watson,spencer treat clark,ashley bell,drama horror thriller,The Last Exorcism Part II
richard linklater,ellar coltrane,lorelei linklater,libby villari,drama,Boyhood
woody allen,scarlett johansson,kevin mcnally,geoff bell,comedy crime mystery,Scoop
tim burton,cary-hiroyuki tagawa,estella warren,erick avari,action adventure sci-fi thriller,Planet of the Apes
dj pooh,angell conwell,dr. dre,dj pooh,comedy,The Wash
dj pooh,mo'nique,mike epps,faizon love,comedy,3 Strikes
wayne kramer,estella warren,paul sorvino,shawn hatosy,crime drama fantasy romance,The Cooler
john huston,montgomery clift,kevin mccarthy,thelma ritter,drama romance western,The Misfits
patrick stettner,robin williams,joe morton,rory culkin,crime mystery thriller,The Night Listener
james melkonian,vincent pastore,william hickey,peter appel,comedy crime,The Jerky Boys
wes craven,frank grillo,emily meade,zena grey,horror mystery thriller,My Soul to Take
j.a. bayona,geraldine chaplin,belén rueda,fernando cayo,drama mystery thriller,The Orphanage
michael tiddes,ashley rickards,essence atkins,gabriel iglesias,comedy fantasy,A Haunted House 2
roger avary,ian somerhalder,faye dunaway,clifton collins jr.,comedy drama romance,The Rules of Attraction
alfred hitchcock,roscoe lee browne,john vernon,philippe noiret,drama thriller,Topaz
bob odenkirk,dylan baker,chi mcbride,amy hill,comedy crime,Let's Go to Prison
allison anders,salma hayek,alicia witt,lili taylor,comedy fantasy,Four Rooms
steven shainberg,jeremy davies,stephen mchattie,lesley ann warren,comedy drama romance,Secretary
rick de oliveira,laura ramsey,alan taylor,benjamin fletcher,documentary,The Real Cancun
oliver stone,michael wincott,zach grenier,bill johnson,drama,Talk Radio
christopher guest,catherine o'hara,fred willard,larry miller,comedy,Waiting for Guffman
jeff franklin,ivana milicevic,tyra banks,bridgette wilson-sampras,comedy,Love Stinks
john dahl,philip baker hall,aaron hughes,jayne eastwood,comedy crime romance thriller,You Kill Me
mike mills,kelli garner,lou taylor pucci,nancy o'dell,comedy drama,Thumbsucker
kevin smith,anna gunn,michael angarano,stephen root,action crime horror thriller,Red State
dave mckean,stephanie leonidas,gina mckee,rob brydon,adventure fantasy,Mirrormask
ron fricke,collin alfredo st. dic,balinese tari legong dancers,puti sri candra dewi,documentary music,Samsara
ruggero deodato,michael berryman,eva larue,richard lynch,adventure fantasy,The Barbarians
gavin wiesen,michael angarano,blair underwood,rita wilson,drama romance,The Art of Getting By
mora stephens,ray winstone,alexandra breckenridge,elena satine,drama thriller,Zipper
mars callahan,chazz palminteri,ricky schroder,ernie reyes jr.,drama thriller,Poolhall Junkies
mike figgis,kelly macdonald,saffron burrows,julian sands,drama,The Loss of Sexual Innocence
leos carax,kylie minogue,leos carax,denis lavant,drama fantasy,Holy Motors
david gordon green,nicolas cage,tye sheridan,ronnie gene blevins,drama,Joe
stefan schwartz,peter mcnamara,dan futterman,ralph ineson,comedy crime romance,Shooting Fish
renny harlin,viggo mortensen,lane smith,hal landon jr.,crime drama horror thriller,Prison
robert lee king,lauren ambrose,kathleen robertson,beth broderick,comedy horror mystery,Psycho Beach Party
kevin allen,craig ferguson,frances fisher,mary mccormack,comedy,The Big Tease
jorge ramírez suárez,hector kotsifakis,adriana barraza,arcelia ramírez,drama,"Buen Día, Ramón"
david schwimmer,noah emmerich,jordan trovillion,zoe levin,crime drama thriller,Trust
barry levinson,anna friel,brían f. o'byrne,pauline mclynn,comedy,An Everlasting Piece
sam miller,rachel griffiths,alan williams,rob jarvis,comedy romance,Among Giants
